Python,Java,C++,JavaScript,C#,PHP,Software_Development_Experience,Database_Management,Networking_Skills,Web_Development_Experience,Communication_Skills,Problem_Solving_Abilities,Teamwork_Collaboration,Time_Management,Adaptability,GPA,Personal_Interests,Internship_Experience,Leadership_Experience,Career_Goals
9,4,9,7,8,1,2,3,7,5,7,5,5,9,1,2.973938266,CodingOthers,No,No,Data Scientist
7,7,4,8,8,9,8,9,2,1,3,4,5,6,7,3.974984822,Reading,Yes,Yes,Quality Assurance Engineer
1,1,5,8,5,8,5,0,3,6,0,9,2,3,1,3.974984822,CodingOthers,No,No,Computer and Information Research Scientist
3,7,5,7,8,7,4,4,5,7,1,7,9,4,1,2.146982715,Traveling,No,No,Research Scientist
6,9,2,8,4,4,6,2,9,7,2,6,1,3,3,2.146982715,Gaming,Yes,Yes,Front End Developer
7,4,5,8,3,0,9,3,5,8,8,1,3,6,9,3.974984822,Sports,No,No,Computer and Information Research Scientist
6,9,8,2,7,1,9,8,9,0,1,9,1,0,7,3.974984822,Gaming,No,No,IT Sales Professional
2,1,5,4,1,7,0,6,6,5,0,5,4,6,5,4.356164715,CodingOthers,Yes,No,Computer Systems Manager
9,5,5,4,8,4,0,5,5,9,1,0,5,8,1,2.973938266,Traveling,Yes,No,Data Scientist
6,3,6,0,8,6,6,4,5,8,0,7,6,3,1,4.356164715,Reading,No,Yes,Machine Learning Engineer
8,2,1,3,1,4,0,4,8,8,2,6,3,3,4,2.973938266,Traveling,No,No,Computer Systems Manager
2,3,8,6,9,1,3,0,5,1,1,7,0,4,6,2.146982715,Sports,Yes,Yes,Technical Writer
6,8,1,5,6,1,3,4,2,1,1,4,8,8,4,3.974984822,Gaming,No,Yes,DevOps Engineer
1,3,7,0,4,9,1,2,8,2,4,1,4,3,2,2.973938266,CodingOthers,Yes,Yes,Embedded Systems Engineer
7,4,6,5,9,5,4,6,2,1,3,3,4,9,0,4.356164715,Gaming,Yes,No,Computer Programmer
8,2,3,1,8,3,6,0,3,6,1,2,5,0,4,3.974984822,Reading,Yes,No,Business Intelligence Analyst
3,6,2,7,9,7,6,1,3,6,3,8,0,4,5,3.974984822,CodingOthers,No,No,Computer Science Teacher
2,9,0,3,0,8,2,1,8,3,8,8,8,8,1,3.974984822,Sports,Yes,Yes,DevOps Engineer
2,4,4,6,4,3,8,0,2,1,0,9,5,2,9,2.146982715,Traveling,Yes,No,IT Project Manager
5,4,1,0,1,7,1,6,9,2,7,7,4,1,0,2.973938266,CodingOthers,No,Yes,Computer Systems Manager
0,0,2,5,6,8,6,5,6,0,5,7,7,1,6,4.356164715,Reading,No,No,Mobile App Developer
7,2,6,1,6,6,0,7,6,0,1,0,1,7,6,2.973938266,Music,No,No,Systems Analyst
5,5,5,6,9,2,2,6,9,2,8,8,9,0,4,2.146982715,Traveling,Yes,No,Network Administrator
9,0,6,3,4,8,1,2,8,1,4,1,5,4,2,3.974984822,Reading,Yes,Yes,Systems Analyst
1,1,9,3,8,7,9,3,0,4,5,0,6,0,7,2.973938266,CodingOthers,No,Yes,Computer Systems Analyst
0,9,2,0,9,3,4,7,5,6,4,5,9,2,9,3.974984822,Sports,Yes,Yes,Technical Support Engineer
7,9,4,1,5,3,9,7,2,6,6,4,9,3,0,4.356164715,Traveling,No,No,Computer Network Architect
6,9,7,9,6,7,7,3,9,0,6,6,3,6,4,4.356164715,Music,No,No,Technical Writer
9,6,3,3,9,0,8,5,2,4,1,6,1,5,4,2.973938266,Reading,No,Yes,Computer Science Teacher
0,1,8,8,1,9,5,7,3,9,0,5,0,0,5,3.974984822,Sports,No,No,Software Engineer
7,8,5,9,6,5,8,5,1,6,1,8,3,0,1,2.146982715,CodingOthers,No,Yes,Cybersecurity Analyst
7,9,1,5,0,2,9,2,0,5,3,1,7,0,4,3.974984822,Traveling,Yes,Yes,Blockchain Developer
4,1,3,8,9,3,6,2,2,6,5,5,3,7,9,2.973938266,Gaming,No,No,Back End Developer
7,6,3,9,3,1,4,4,0,9,8,3,9,8,0,3.974984822,Sports,Yes,No,Computer Systems Analyst
1,7,7,0,8,5,3,9,1,4,0,4,0,7,5,4.356164715,CodingOthers,No,Yes,Research Scientist
8,2,7,7,9,3,7,8,8,6,3,9,3,7,3,4.356164715,CodingOthers,No,No,Computer Network Architect
7,4,8,3,6,4,2,8,6,2,8,9,4,7,4,3.974984822,Traveling,No,Yes,Software Developer
3,6,5,5,2,7,4,5,1,5,8,4,3,0,8,2.973938266,CodingOthers,Yes,No,Cybersecurity Analyst
6,5,6,1,6,3,1,7,9,2,6,1,9,5,6,3.974984822,Music,Yes,No,Technical Writer
2,9,1,0,1,4,7,5,4,2,5,1,7,6,6,2.146982715,CodingOthers,Yes,Yes,Embedded Systems Engineer
8,3,9,7,7,4,5,1,1,6,2,9,7,6,1,4.356164715,Music,Yes,Yes,Computer and Information Systems Manager
4,1,5,3,3,2,2,9,1,6,6,1,7,7,5,3.974984822,Music,Yes,Yes,Software Tester
9,4,6,9,0,3,6,3,3,3,5,8,3,5,6,2.146982715,CodingOthers,Yes,No,Computer Network Architect
6,5,6,0,2,4,9,3,6,2,6,8,2,8,8,2.973938266,Reading,Yes,Yes,Computer Programmer
8,0,1,8,0,7,7,8,0,0,3,5,6,4,9,4.356164715,Traveling,No,Yes,Computer Systems Analyst
0,3,6,2,2,9,3,5,8,0,1,5,6,2,0,2.973938266,Music,Yes,Yes,Front End Developer
0,1,3,7,5,2,7,9,6,2,6,9,2,6,1,4.356164715,Traveling,Yes,Yes,Mobile App Developer
1,9,1,6,8,4,2,1,5,0,8,6,1,7,8,2.146982715,Music,Yes,Yes,Game Developer
6,6,2,3,1,4,3,3,2,0,8,2,1,8,1,3.974984822,Music,No,No,Computer Hardware Engineer
5,9,3,1,1,4,0,3,9,2,1,5,3,2,5,2.973938266,Reading,No,Yes,Cloud Architect
3,4,0,8,5,2,6,8,5,1,8,6,7,3,2,2.146982715,Sports,No,Yes,Data Scientist
3,2,9,5,5,3,4,2,2,9,0,0,8,3,2,3.974984822,CodingOthers,No,Yes,IT Support Specialist
